ax	ay	az	gx	gy	gz	mx	my	mz	MotorIzquierdo	MotorDerecho	DutyMotorIzquierdo	DutyMotorDerecho	roll	pitch	yaw	yaw_Gps	Bateria	TDerecho	TIzquierdo	IDerecho	IIzquierdo	WDerecho	WIzquierdo	U	UR	UL	UtR	UtL	errorR	UiR	UdR	UpR	Ui1R	errorL	UiL	UdL	UpL	Ui1L	t	KpL
-0.034668	0.040039	0.952148	-1.646342	0.182927	0.304878	21.731251	183.241409	31.696877	0.000000	0.000000	50.000000	-0.034668	-42.587975	-9.944148	-24.341089	-24.341089	12.923200	27.000000	31.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.800000	
-0.013672	0.030273	0.949707	-1.524390	0.060976	0.304878	21.731251	183.241409	31.696877	0.000000	0.000000	50.000000	-0.013672	-40.720654	-9.540125	-24.512985	-24.512985	12.923200	27.000000	31.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050000	1.800000	
-0.025879	0.030273	0.954102	-1.402439	0.304878	0.304878	21.731251	183.241409	31.696877	0.000000	0.000000	50.000000	-0.025879	-38.916054	-9.094516	-24.512985	-24.512985	12.923200	27.000000	31.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.100000	1.800000	
-0.024414	0.030762	0.958008	-1.524390	0.365854	0.060976	21.731251	183.241409	31.696877	0.000000	0.000000	50.000000	-0.024414	-37.186951	-8.665665	-24.581575	-24.581575	12.923200	27.000000	31.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.150000	1.800000	
-0.023438	0.040527	0.966797	-1.585366	0.304878	0.182927	21.731251	183.241409	31.696877	0.000000	0.000000	50.000000	-0.023438	-35.510368	-8.249117	-24.727314	-24.727314	12.925600	27.000000	31.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.200000	1.800000	
-0.029785	0.038574	0.960449	-1.890244	0.243902	0.304878	22.265627	183.420715	30.835548	0.000000	0.000000	50.000000	-0.029785	-33.920170	-7.819841	-23.906359	-23.906359	12.923200	27.000000	31.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.250000	1.800000	
-0.019043	0.037598	0.949219	-1.646342	0.304878	0.304878	22.265627	183.420715	30.835548	0.000000	0.000000	50.000000	-0.019043	-32.382038	-7.428135	-23.906359	-23.906359	12.923200	27.000000	31.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.300000	1.800000	
-0.026367	0.035645	0.944824	-1.585366	0.121951	0.426829	21.375002	181.807037	31.696877	0.000000	0.000000	50.000000	-0.026367	-30.913036	-7.028789	-24.032583	-24.032583	12.925600	27.000000	31.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.350000	1.800000	
-0.022461	0.034668	0.951660	-1.646342	0.182927	0.121951	21.375002	181.807037	31.696877	0.000000	0.000000	50.000000	-0.022461	-29.510574	-6.657588	-24.227745	-24.227745	12.923200	27.000000	31.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	1.800000	
-0.019043	0.041504	0.960449	-1.707317	0.182927	0.304878	21.375002	181.807037	31.696877	0.000000	0.000000	50.000000	-0.019043	-28.156376	-6.304503	-24.535009	-24.535009	12.923200	27.000000	31.000000	0.000000	0.000000	0.000000	0.000000	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450000	1.800000	
-0.024414	0.039062	0.959473	-1.646342	0.365854	0.182927	20.662500	181.089844	30.663282	0.000000	0.000000	50.000000	-0.024414	-26.863153	-5.940786	-24.535009	-24.535009	12.923200	27.000000	31.000000	0.000000	0.000000	0.000000	0.000000	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	1.800000	
0.010742	-0.009766	0.933105	-2.195122	-0.060976	0.182927	20.662500	181.089844	30.663282	0.000000	0.000000	50.000000	0.010742	-25.783138	-5.705317	-24.649725	-24.649725	12.925600	27.000000	31.000000	0.000000	0.000000	0.000000	0.000000	30.000000	5.872393	4.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.550000	1.800000	
